,incident_type,Incident_Year,Reported_Month,Region_of_Origin,Region_of_Incident,Number_of_Dead,Minimum_Estimated_Number_of_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Migration_Route,UNSD_Geographical_Grouping
136,Incident,2014,July,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
137,Incident,2014,July,Central America,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
138,Incident,2014,July,Other / Unknown,Mediterranean,4,21,13,1,2,1,1,Mediterranean Region,Uncategorized
139,Incident,2014,July,Central America,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
140,Incident,2014,July,Other / Unknown,Mediterranean,12,0,0,0,0,0,1,Mediterranean Region,Uncategorized
141,Incident,2014,July,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
142,Incident,2014,July,Central America,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
143,Incident,2014,July,Other / Unknown,Mediterranean,1,109,12,1,0,0,1,Mediterranean Region,Uncategorized
145,Incident,2014,July,Other / Unknown,Mediterranean,3,0,90,0,0,0,1,Mediterranean Region,Uncategorized
146,Incident,2014,July,Sub-Saharan Africa,Mediterranean,0,41,61,0,0,0,1,Mediterranean Region,Uncategorized
147,Incident,2014,July,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
148,Incident,2014,July,Central America,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
149,Incident,2014,July,Other / Unknown,Mediterranean,2,53,1,0,0,0,1,Mediterranean Region,Uncategorized
150,Incident,2014,July,Other / Unknown,Mediterranean,3,0,104,0,0,0,1,Mediterranean Region,Uncategorized
151,Split Incident,2014,July,Sub-Saharan Africa,Mediterranean,29,151,569,0,0,1,1,Mediterranean Region,Uncategorized
152,Incident,2014,July,Other / Unknown,Mediterranean,5,14,61,0,0,0,1,Mediterranean Region,Uncategorized
153,Incident,2014,July,Eastern Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
154,Incident,2014,July,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
155,Incident,2014,July,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
156,Incident,2014,July,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
157,Incident,2014,July,Sub-Saharan Africa,Mediterranean,20,108,22,0,0,0,1,Mediterranean Region,Uncategorized
158,Incident,2014,July,Central America,North America,1,0,0,0,1,1,1,US-Mexico border crossing,Northern America
159,Incident,2014,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
160,Incident,2014,July,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
161,Incident,2014,July,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
164,Incident,2014,August,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
165,Incident,2014,August,Western / Southern Asia,Mediterranean,2,170,200,1,0,1,1,Mediterranean Region,Uncategorized
166,Incident,2014,August,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
167,Incident,2014,August,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
168,Incident,2014,August,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
169,Incident,2014,August,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
170,Incident,2014,August,Southern Asia,Europe,1,0,34,0,1,0,0,EU Boarder,Europe
171,Incident,2014,August,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
172,Incident,2014,August,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
173,Incident,2014,August,Sub-Saharan Africa,Mediterranean,170,81,19,0,0,1,1,Mediterranean Region,Uncategorized
174,Incident,2014,August,Other / Unknown,Mediterranean,18,8,73,0,26,0,1,Mediterranean Region,Uncategorized
175,Incident,2014,August,Caribbean,Caribbean,4,5,0,0,4,0,1,Other Routes,Caribbean
176,Incident,2014,August,Other / Unknown,Mediterranean,24,0,364,0,0,0,1,Mediterranean Region,Uncategorized
177,Incident,2014,August,Other / Unknown,Mediterranean,1,0,0,0,0,0,0,Mediterranean Region,Uncategorized
178,Incident,2014,August,Caribbean,Caribbean,1,0,19,1,0,0,1,Other Routes,Caribbean
179,Incident,2014,August,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
180,Incident,2014,August,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
182,Cumulative Incident,2014,August,Latin America / Caribbean,North America,44,0,0,0,0,0,0,US-Mexico border crossing,Northern America
184,Incident,2014,August,Western / Southern Asia,Mediterranean,42,0,0,8,0,5,1,Mediterranean Region,Uncategorized
186,Incident,2014,August,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
187,Incident,2014,August,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
188,Incident,2014,August,Other / Unknown,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
191,Incident,2014,September,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
192,Incident,2014,September,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
193,Incident,2014,September,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
196,Incident,2014,September,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
197,Incident,2014,September,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
198,Incident,2014,September,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
199,Incident,2014,September,Other / Unknown,Mediterranean,3,497,10,0,0,0,1,Mediterranean Region,Uncategorized
200,Incident,2014,September,Other / Unknown,Mediterranean,2,16,12,0,0,1,1,Mediterranean Region,Uncategorized
201,Incident,2014,September,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
202,Split Incident,2014,September,Western / Southern Asia,Mediterranean,15,73,72,0,0,0,1,Mediterranean Region,Uncategorized
203,Incident,2014,September,Other / Unknown,Mediterranean,70,94,36,0,0,1,1,Mediterranean Region,Uncategorized
204,Incident,2014,September,Other / Unknown,Mediterranean,10,33,55,0,0,0,1,Mediterranean Region,Uncategorized
205,Incident,2014,September,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
206,Incident,2014,September,Western / Southern Asia,Asia,1,0,0,0,1,1,0,Turkiye Boarder,Asia
207,Incident,2014,September,Western / Southern Asia,Asia,2,0,0,0,2,1,0,Turkiye Boarder,Asia
208,Incident,2014,September,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
209,Incident,2014,September,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
210,Incident,2014,September,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
211,Incident,2014,October,Sub-Saharan Africa,Mediterranean,2,6,0,0,1,0,1,Mediterranean Region,Uncategorized
212,Incident,2014,October,Eastern Africa,Africa,64,0,0,0,0,0,1,Horn of Africa to Yemen crossing,Uncategorized
213,Incident,2014,October,Sub-Saharan Africa,Mediterranean,10,85,85,0,0,0,1,Mediterranean Region,Uncategorized
214,Incident,2014,October,Caribbean,Caribbean,0,2,3,0,0,0,1,Other Routes,Caribbean
215,Incident,2014,October,Other / Unknown,Mediterranean,3,0,646,0,0,0,1,Mediterranean Region,Uncategorized
216,Incident,2014,July,Western / Southern Asia,Europe,1,0,0,0,1,0,1,EU Boarder,Uncategorized
217,Incident,2014,July,Western / Southern Asia,Europe,1,0,0,0,1,0,1,EU Boarder,Uncategorized
220,Incident,2014,October,Eastern Africa,Africa,1,0,0,0,1,0,1,Horn of Africa to Yemen crossing,Uncategorized
221,Incident,2014,October,Eastern Africa,Africa,1,0,0,0,1,0,1,Horn of Africa to Yemen crossing,Uncategorized
222,Incident,2014,October,Eastern Africa,Africa,1,0,0,0,1,0,1,Horn of Africa to Yemen crossing,Uncategorized
223,Incident,2014,October,Eastern Africa,Africa,1,0,0,0,1,0,1,Horn of Africa to Yemen crossing,Uncategorized
224,Incident,2014,October,Eastern Africa,Africa,1,0,0,0,1,0,1,Horn of Africa to Yemen crossing,Uncategorized
225,Incident,2014,October,Eastern Africa,Africa,1,0,0,0,1,0,1,Horn of Africa to Yemen crossing,Uncategorized
226,Incident,2014,October,Eastern Africa,Africa,1,0,0,0,1,0,1,Horn of Africa to Yemen crossing,Uncategorized
227,Incident,2014,October,Eastern Africa,Africa,1,0,0,0,1,0,1,Horn of Africa to Yemen crossing,Uncategorized
228,Incident,2014,October,Eastern Africa,Europe,1,0,0,1,0,1,0,EU Boarder,Europe
229,Incident,2014,October,Northern Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
230,Incident,2014,October,Caribbean,Caribbean,0,2,11,0,0,0,1,Other Routes,Caribbean
233,Incident,2014,November,Southern Asia,Asia,27,11,6,4,0,11,1,Turkiye Boarder,Asia
234,Incident,2014,November,Southern Asia,Mediterranean,0,4,5,0,0,1,1,Mediterranean Region,Uncategorized
235,Incident,2014,November,Eastern Africa,Africa,0,30,0,0,0,0,1,Horn of Africa to Yemen crossing,Africa
236,Incident,2014,November,Other / Unknown,Europe,2,0,0,0,0,0,0,EU Boarder,Europe
237,Cumulative Incident,2014,November,Sub-Saharan Africa,Mediterranean,0,6,0,0,0,0,1,Mediterranean Region,Uncategorized
238,Cumulative Incident,2014,November,Sub-Saharan Africa,Mediterranean,0,12,0,0,0,0,1,Mediterranean Region,Uncategorized
239,Incident,2014,November,Southern Asia,Europe,4,0,0,0,4,0,1,Western Balkans,Europe
240,Incident,2014,December,Eastern Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
241,Incident,2014,December,Sub-Saharan Africa,Mediterranean,17,0,75,1,15,1,1,Mediterranean Region,Uncategorized
242,Incident,2014,December,Sub-Saharan Africa,Mediterranean,0,23,28,0,0,0,1,Mediterranean Region,Uncategorized
243,Incident,2014,December,Eastern Africa,Asia,21,3,0,0,0,0,1,Horn of Africa to Yemen crossing,Africa
244,Incident,2014,December,Northern Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
245,Incident,2014,December,Caribbean,Caribbean,0,1,0,0,1,0,1,Other Routes,Caribbean
246,Incident,2014,December,Other / Unknown,Mediterranean,9,0,21,0,0,3,1,Mediterranean Region,Uncategorized
247,Incident,2014,December,Other / Unknown,Mediterranean,5,0,0,0,1,0,1,Mediterranean Region,Uncategorized
248,Incident,2014,December,Other / Unknown,Mediterranean,0,30,0,0,0,0,0,Mediterranean Region,Uncategorized
249,Incident,2014,December,Western / Southern Asia,Mediterranean,0,2,0,0,0,0,1,Mediterranean Region,Uncategorized
250,Incident,2014,December,Western / Southern Asia,Mediterranean,0,9,2,0,0,0,1,Mediterranean Region,Uncategorized
251,Incident,2014,November,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
252,Cumulative Incident,2014,December,Other / Unknown,Mediterranean,4,0,0,0,0,0,1,Mediterranean Region,Uncategorized
255,Cumulative Incident,2014,September,Latin America / Caribbean,North America,111,0,0,0,0,0,0,US-Mexico border crossing,Northern America
266,Incident,2014,October,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
268,Incident,2014,October,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
269,Incident,2014,October,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
294,Incident,2014,March,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
303,Incident,2015,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
304,Incident,2015,January,Other / Unknown,Mediterranean,5,0,16,0,0,0,1,Mediterranean Region,Uncategorized
306,Incident,2015,January,Western / Southern Asia,Europe,1,0,0,0,1,0,0,Western Balkans,Europe
307,Incident,2015,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
308,Incident,2015,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
312,Incident,2015,January,Other / Unknown,Mediterranean,9,36,27,0,0,0,1,Mediterranean Region,Uncategorized
314,Incident,2015,January,Sub-Saharan Africa,Mediterranean,1,0,418,0,0,0,0,Mediterranean Region,Uncategorized
317,Incident,2015,January,Western Africa,Africa,12,0,0,0,0,0,0,Sahara Desert crossing,Africa
318,Incident,2015,January,Sub-Saharan Africa,Mediterranean,1,20,86,0,21,0,1,Mediterranean Region,Uncategorized
319,Incident,2015,January,Western / Southern Asia,Africa,1,0,0,0,1,0,0,Sahara Desert crossing,Africa
320,Incident,2015,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
321,Incident,2015,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
322,Incident,2015,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
323,Incident,2015,January,Caribbean,Caribbean,1,0,0,1,0,0,0,Other Routes,Caribbean
325,Incident,2015,January,Western Africa,Mediterranean,8,2,10,0,0,0,1,Mediterranean Region,Uncategorized
326,Incident,2015,January,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
327,Incident,2015,January,Western Africa,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
328,Incident,2015,January,Other / Unknown,Africa,26,0,0,0,0,0,1,Sahara Desert crossing,Africa
330,Incident,2015,February,Eastern Africa,Asia,3,0,0,0,0,0,1,Horn of Africa to Yemen crossing,Uncategorized
331,Incident,2015,February,Eastern Africa,Asia,3,33,13,0,0,1,1,Horn of Africa to Yemen crossing,Uncategorized
332,Incident,2015,February,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
333,Incident,2015,February,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
334,Incident,2015,February,Western / Southern Asia,Mediterranean,7,2,6,0,0,0,1,Mediterranean Region,Uncategorized
335,Incident,2015,February,Western Africa,Mediterranean,29,0,76,0,29,0,1,Mediterranean Region,Uncategorized
337,Incident,2015,February,Eastern Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
338,Incident,2015,February,Central America,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
